PASSENGERS,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,MONTH
9.00,507.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,15304,TPA,"Tampa, FL",FL,12,Florida,33,11057,CLT,"Charlotte, NC",NC,37,North Carolina,36,2024,1
9.00,513.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",2,2,14275,PTK,"Pontiac, MI",MI,26,Michigan,43,12197,HPN,"White Plains, NY",NY,36,New York,22,2024,1
9.00,613.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,12992,LIT,"Little Rock, AR",AR,05,Arkansas,71,2024,1
9.00,632.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,11057,CLT,"Charlotte, NC",NC,37,North Carolina,36,11697,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,2024,1
9.00,639.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13577,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,10792,BUF,"Buffalo, NY",NY,36,New York,22,2024,1
9.00,650.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13502,MTJ,"Montrose/Delta, CO",CO,08,Colorado,82,14908,SNA,"Santa Ana, CA",CA,06,California,91,2024,1
9.00,655.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13244,MEM,"Memphis, TN",TN,47,Tennessee,54,15304,TPA,"Tampa, FL",FL,12,Florida,33,2024,1
9.00,754.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,14689,SBA,"Santa Barbara, CA",CA,06,California,91,2024,1
9.00,754.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14689,SBA,"Santa Barbara, CA",CA,06,California,91,10140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,2024,1
9.00,773.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,15304,TPA,"Tampa, FL",FL,12,Florida,33,11193,CVG,"Cincinnati, OH",KY,21,Kentucky,52,2024,1
9.00,776.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14908,SNA,"Santa Ana, CA",CA,06,California,91,11603,EUG,"Eugene, OR",OR,41,Oregon,92,2024,1
9.00,821.00,YX,20452,Republic Airline,D,YX,Republic Airline,3,3,13871,OMA,"Omaha, NE",NE,31,Nebraska,65,14122,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,2024,1
9.00,887.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,14321,PWM,"Portland, ME",ME,23,Maine,12,2024,1
9.00,908.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14908,SNA,"Santa Ana, CA",CA,06,California,91,10849,BZN,"Bozeman, MT",MT,30,Montana,84,2024,1
9.00,910.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,15016,STL,"St. Louis, MO",MO,29,Missouri,64,10257,ALB,"Albany, NY",NY,36,New York,22,2024,1
9.00,942.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,12206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,10397,ATL,"Atlanta, GA",GA,13,Georgia,34,2024,1
9.00,947.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13502,MTJ,"Montrose/Delta, CO",CO,08,Colorado,82,15016,STL,"St. Louis, MO",MO,29,Missouri,64,2024,1
9.00,947.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,15016,STL,"St. Louis, MO",MO,29,Missouri,64,13502,MTJ,"Montrose/Delta, CO",CO,08,Colorado,82,2024,1
9.00,951.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",2,2,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,14100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,2024,1
9.00,986.00,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,11433,DTW,"Detroit, MI",MI,26,Michigan,43,11298,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2024,1
9.00,1035.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,12953,LGA,"New York, NY",NY,36,New York,22,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,2024,1
9.00,1041.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14685,SAV,"Savannah, GA",GA,13,Georgia,34,14683,SAT,"San Antonio, TX",TX,48,Texas,74,2024,1
9.00,1042.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,12266,IAH,"Houston, TX",TX,48,Texas,74,2024,1
9.00,1045.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",2,2,13184,MBS,"Saginaw/Bay City/Midland, MI",MI,26,Michigan,43,13936,ORL,"Orlando, FL",FL,12,Florida,33,2024,1
9.00,1076.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,12574,TN8,"Nashville, TN",TN,47,Tennessee,54,14674,SAF,"Santa Fe, NM",NM,35,New Mexico,86,2024,1
9.00,1096.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13303,MIA,"Miami, FL",FL,12,Florida,33,12953,LGA,"New York, NY",NY,36,New York,22,2024,1
9.00,1136.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,10792,BUF,"Buffalo, NY",NY,36,New York,22,2024,1
9.00,1167.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,11066,CMH,"Columbus, OH",OH,39,Ohio,44,11109,COS,"Colorado Springs, CO",CO,08,Colorado,82,2024,1
9.00,1181.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,10800,BUR,"Burbank, CA",CA,06,California,91,2024,1
9.00,1204.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,13342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,2024,1
9.00,1224.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10599,BHM,"Birmingham, AL",AL,01,Alabama,51,12094,HDN,"Hayden, CO",CO,08,Colorado,82,2024,1
9.00,1234.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13198,MCI,"Kansas City, MO",MO,29,Missouri,64,14307,PVD,"Providence, RI",RI,44,Rhode Island,15,2024,1
9.00,1297.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10423,AUS,"Austin, TX",TX,48,Texas,74,12264,IAD,"Washington, DC",VA,51,Virginia,38,2024,1
9.00,1297.00,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,12206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,14869,SLC,"Salt Lake City, UT",UT,49,Utah,87,2024,1
